CompositeCheck
q_start,q_kick,q_seed,q_decide,q_seek_x,q_scan_r,q_scan_l,q_restore,q_to_verify,q_verify,q_rewind,q_accept,q_reject
1
1,X,Y,Z,_
q_start
q_accept
q_reject
q_start,1,q_kick,X,R
q_kick,1,q_seed,1,S
q_seed,1,q_seed,X,R
q_seed,1,q_decide,1,S
q_decide,1,q_seek_x,1,L
q_decide,Z,q_seek_x,Z,L
q_seek_x,1,q_seek_x,1,L
q_seek_x,Z,q_seek_x,Z,L
q_seek_x,Y,q_seek_x,Y,L
q_seek_x,X,q_scan_r,Y,R
q_seek_x,_,q_restore,_,R
q_scan_r,Y,q_scan_r,Y,R
q_scan_r,Z,q_scan_r,Z,R
q_scan_r,1,q_scan_l,Z,L
q_scan_l,Z,q_scan_l,Z,L
q_scan_l,Y,q_seek_x,Y,L
q_restore,Y,q_restore,X,R
q_restore,Z,q_to_verify,Z,S
q_to_verify,Z,q_verify,Z,S
q_verify,Z,q_verify,Z,R
q_verify,1,q_rewind,1,L
q_verify,_,q_accept,_,S
q_rewind,Z,q_rewind,Z,L
q_rewind,X,q_rewind,X,L
q_rewind,_,q_decide,_,R
