instance_id,n_vars,n_clauses,method,satisfiable,time_seconds,solution
1,4,10,BestCase,U,0.00011869985610246658,"{1: True, 2: True, 3: False, 4: False}"
2,4,10,BestCase,S,4.939991049468517e-05,"{1: False, 2: True, 3: True, 4: True}"
3,4,10,BestCase,U,4.160008393228054e-05,"{1: False, 2: False, 3: True, 4: True}"
4,4,10,BestCase,S,2.500019036233425e-05,"{1: True, 2: True, 3: True, 4: False}"
5,4,10,BestCase,S,3.920006565749645e-05,"{1: False, 2: False, 3: True, 4: True}"
6,4,10,BestCase,S,2.529984340071678e-05,"{1: True, 2: True, 3: False, 4: True}"
7,4,10,BestCase,S,2.550007775425911e-05,"{1: False, 2: False, 3: False, 4: True}"
8,4,10,BestCase,U,2.340017817914486e-05,"{1: True, 2: False, 3: True, 4: False}"
9,4,10,BestCase,U,5.8399979025125504e-05,"{1: True, 2: False, 3: False, 4: False}"
10,4,10,BestCase,U,5.410006269812584e-05,"{1: False, 2: True, 3: True, 4: True}"
11,8,16,BestCase,U,0.00020720018073916435,"{1: False, 2: True, 3: False, 4: True, 5: True, 6: True, 7: True, 8: True}"
12,8,16,BestCase,U,0.000283299945294857,"{1: False, 2: True, 3: True, 4: False, 5: False, 6: False, 7: False, 8: True}"
13,8,16,BestCase,U,0.00018509989604353905,"{1: True, 2: True, 3: False, 4: False, 5: True, 6: True, 7: True, 8: False}"
14,8,16,BestCase,S,0.00030860002152621746,"{1: False, 2: True, 3: False, 4: True, 5: True, 6: True, 7: True, 8: True}"
15,8,16,BestCase,U,0.0003692999016493559,"{1: False, 2: True, 3: False, 4: True, 5: True, 6: True, 7: False, 8: True}"
16,8,16,BestCase,U,0.00016520009376108646,"{1: True, 2: True, 3: True, 4: False, 5: True, 6: True, 7: False, 8: False}"
17,8,16,BestCase,U,7.029995322227478e-05,"{1: True, 2: True, 3: True, 4: True, 5: True, 6: False, 7: True, 8: False}"
18,8,16,BestCase,U,7.319985888898373e-05,"{1: True, 2: True, 3: True, 4: False, 5: True, 6: True, 7: True, 8: True}"
19,8,16,BestCase,S,6.939982995390892e-05,"{1: False, 2: True, 3: True, 4: False, 5: False, 6: True, 7: True, 8: False}"
20,8,16,BestCase,U,6.330013275146484e-05,"{1: True, 2: False, 3: True, 4: False, 5: True, 6: True, 7: False, 8: True}"
21,12,24,BestCase,S,0.00015489989891648293,"{1: False, 2: False, 3: False, 4: True, 5: True, 6: True, 7: True, 8: False, 9: True, 10: True, 11: True, 12: True}"
22,12,24,BestCase,U,0.00014779996126890182,"{1: True, 2: False, 3: False, 4: False, 5: True, 6: False, 7: False, 8: True, 9: True, 10: True, 11: False, 12: False}"
23,12,24,BestCase,U,0.00016160006634891033,"{1: True, 2: True, 3: False, 4: True, 5: True, 6: False, 7: False, 8: False, 9: True, 10: True, 11: True, 12: True}"
24,12,24,BestCase,U,0.00015920004807412624,"{1: True, 2: True, 3: False, 4: False, 5: True, 6: False, 7: False, 8: True, 9: True, 10: False, 11: True, 12: False}"
25,12,24,BestCase,U,0.00014309980906546116,"{1: True, 2: False, 3: True, 4: False, 5: True, 6: True, 7: True, 8: True, 9: False, 10: True, 11: True, 12: True}"
