instance_id,n_vars,n_clauses,method,satisfiable,time_seconds,solution
1,2,10,BestCase,U,7.797498255968094e-05,"{1: True, 2: False}"
2,3,10,BestCase,U,9.34661366045475e-05,"{1: False, 2: False, 3: True}"
3,3,10,BestCase,U,8.576875552535057e-05,"{1: False, 2: True, 3: True}"
4,4,10,BestCase,U,0.00010001007467508316,"{1: False, 2: True, 3: True, 4: False}"
5,4,10,BestCase,U,5.297502502799034e-05,"{1: False, 2: True, 3: True, 4: True}"
6,5,10,BestCase,U,0.00010689068585634232,"{1: False, 2: True, 3: False, 4: True, 5: True}"
7,5,10,BestCase,U,9.996490553021431e-05,"{1: False, 2: True, 3: False, 4: False, 5: False}"
8,6,10,BestCase,S,0.00011073704808950424,"{1: False, 2: True, 3: True, 4: True, 5: True, 6: False}"
9,6,10,BestCase,U,0.00020430004224181175,"{1: False, 2: False, 3: False, 4: False, 5: False, 6: False}"
10,7,10,BestCase,S,0.000186156015843153,"{1: False, 2: True, 3: True, 4: False, 5: False, 6: True, 7: True}"
11,7,10,BestCase,U,0.00031413789838552475,"{1: False, 2: False, 3: False, 4: False, 5: False, 6: False, 7: False}"
12,3,10,BestCase,U,2.3548956960439682e-05,"{1: False, 2: True, 3: False}"
13,4,10,BestCase,U,4.195095971226692e-05,"{1: True, 2: False, 3: False, 4: False}"
14,5,10,BestCase,S,8.589215576648712e-05,"{1: True, 2: False, 3: True, 4: False, 5: True}"
15,2,10,BestCase,U,1.3838987797498703e-05,"{1: False, 2: False}"
16,6,10,BestCase,S,0.00011365022510290146,"{1: False, 2: True, 3: True, 4: True, 5: True, 6: True}"
17,3,10,BestCase,U,2.632196992635727e-05,"{1: True, 2: True, 3: False}"
18,7,10,BestCase,S,0.00018428312614560127,"{1: False, 2: True, 3: True, 4: False, 5: False, 6: True, 7: True}"
19,4,10,BestCase,U,4.66969795525074e-05,"{1: False, 2: True, 3: False, 4: False}"
20,5,10,BestCase,S,5.466677248477936e-05,"{1: False, 2: True, 3: True, 4: True, 5: True}"
