instance_id,n_vars,n_clauses,method,satisfiable,time_seconds,solution
1000,4,9,BruteForce,S,1.4710240066051483e-05,"{1: True, 2: False, 3: False, 4: False}"
1001,4,9,BruteForce,U,3.203330561518669e-05,{}
1002,4,9,BruteForce,S,1.6218051314353943e-05,"{1: True, 2: True, 3: True, 4: False}"
1003,4,9,BruteForce,S,2.18953937292099e-05,"{1: False, 2: True, 3: False, 4: True}"
1004,4,9,BruteForce,U,2.4978071451187134e-05,{}
1005,4,9,BruteForce,U,2.189120277762413e-05,{}
1006,4,9,BruteForce,U,3.197323530912399e-05,{}
1007,4,9,BruteForce,S,1.0278075933456421e-05,"{1: False, 2: False, 3: True, 4: False}"
1008,4,9,BruteForce,S,1.595495268702507e-05,"{1: False, 2: False, 3: False, 4: True}"
1009,4,9,BruteForce,S,8.388888090848923e-06,"{1: False, 2: True, 3: False, 4: False}"
1010,8,18,BruteForce,S,0.00030017411336302757,"{1: True, 2: False, 3: False, 4: False, 5: False, 6: False, 7: False, 8: True}"
1011,8,18,BruteForce,S,0.0001609819009900093,"{1: True, 2: True, 3: False, 4: True, 5: False, 6: False, 7: True, 8: False}"
1012,8,18,BruteForce,S,0.0004937304183840752,"{1: False, 2: True, 3: True, 4: False, 5: True, 6: False, 7: True, 8: True}"
1013,8,18,BruteForce,U,0.0004405598156154156,{}
1014,8,18,BruteForce,U,0.0004886528477072716,{}
1015,8,18,BruteForce,U,0.000443778932094574,{}
1016,8,18,BruteForce,U,0.0005619432777166367,{}
1017,8,18,BruteForce,S,0.00019846390932798386,"{1: True, 2: False, 3: True, 4: False, 5: False, 6: True, 7: True, 8: False}"
1018,8,18,BruteForce,S,6.963033229112625e-06,"{1: True, 2: False, 3: False, 4: False, 5: False, 6: False, 7: False, 8: False}"
1019,8,18,BruteForce,U,0.0004311380907893181,{}
1020,12,20,BruteForce,U,0.009483757894486189,{}
1021,12,20,BruteForce,S,0.003769917879253626,"{1: False, 2: False, 3: False, 4: False, 5: False, 6: True, 7: False, 8: True, 9: False, 10: True, 11: True, 12: False}"
1022,12,20,BruteForce,S,0.004618738312274218,"{1: True, 2: False, 3: True, 4: False, 5: False, 6: True, 7: False, 8: False, 9: False, 10: False, 11: False, 12: True}"
1023,12,20,BruteForce,S,0.00013920990750193596,"{1: True, 2: True, 3: False, 4: True, 5: True, 6: True, 7: False, 8: False, 9: False, 10: False, 11: False, 12: False}"
1024,12,20,BruteForce,S,0.006854012608528137,"{1: True, 2: True, 3: False, 4: False, 5: True, 6: True, 7: False, 8: True, 9: True, 10: True, 11: False, 12: True}"
1025,12,20,BruteForce,S,0.008897073101252317,"{1: False, 2: False, 3: True, 4: False, 5: False, 6: False, 7: True, 8: False, 9: False, 10: True, 11: True, 12: True}"
1026,12,20,BruteForce,U,0.009582438040524721,{}
1027,12,20,BruteForce,U,0.00942948879674077,{}
1028,12,20,BruteForce,U,0.009223978035151958,{}
1029,12,20,BruteForce,U,0.009698629844933748,{}
1030,16,30,BruteForce,S,0.11501770000904799,"{1: False, 2: True, 3: True, 4: False, 5: True, 6: False, 7: False, 8: False, 9: False, 10: True, 11: False, 12: True, 13: True, 14: False, 15: False, 16: True}"
1031,16,30,BruteForce,U,0.1751995370723307,{}
1032,16,30,BruteForce,S,0.01471243891865015,"{1: False, 2: True, 3: True, 4: False, 5: False, 6: False, 7: False, 8: True, 9: False, 10: False, 11: True, 12: False, 13: True, 14: False, 15: False, 16: False}"
1033,16,30,BruteForce,S,0.004551196005195379,"{1: True, 2: False, 3: True, 4: False, 5: False, 6: True, 7: False, 8: False, 9: False, 10: True, 11: True, 12: False, 13: False, 14: False, 15: False, 16: False}"
1034,16,30,BruteForce,U,0.1814762270078063,{}
1035,16,30,BruteForce,S,0.049358506221324205,"{1: False, 2: False, 3: False, 4: False, 5: True, 6: True, 7: False, 8: True, 9: False, 10: True, 11: True, 12: True, 13: True, 14: True, 15: False, 16: False}"
1036,16,30,BruteForce,U,0.18818734679371119,{}
