instance_id,bin_capacity,bins_array,method,time_taken
0,10,"[5, 5]",BruteForce,0.008082749787718058
0,10,"[4, 6]",BruteForce,0.008082749787718058
0,10,"[3, 7]",BruteForce,0.008082749787718058
0,10,"[3, 3, 4]",BruteForce,0.008082749787718058
0,10,"[2, 8]",BruteForce,0.008082749787718058
0,10,"[2, 4, 4]",BruteForce,0.008082749787718058
0,10,"[2, 3, 5]",BruteForce,0.008082749787718058
0,10,"[2, 2, 6]",BruteForce,0.008082749787718058
0,10,"[2, 2, 3, 3]",BruteForce,0.008082749787718058
0,10,"[2, 2, 2, 4]",BruteForce,0.008082749787718058
0,10,"[2, 2, 2, 2, 2]",BruteForce,0.008082749787718058
0,10,"[1, 4, 5]",BruteForce,0.008082749787718058
0,10,"[1, 3, 6]",BruteForce,0.008082749787718058
0,10,"[1, 3, 3, 3]",BruteForce,0.008082749787718058
0,10,"[1, 2, 7]",BruteForce,0.008082749787718058
0,10,"[1, 2, 3, 4]",BruteForce,0.008082749787718058
0,10,"[1, 2, 2, 5]",BruteForce,0.008082749787718058
0,10,"[1, 2, 2, 2, 3]",BruteForce,0.008082749787718058
0,10,"[1, 1, 8]",BruteForce,0.008082749787718058
0,10,"[1, 1, 4, 4]",BruteForce,0.008082749787718058
0,10,"[1, 1, 3, 5]",BruteForce,0.008082749787718058
0,10,"[1, 1, 2, 6]",BruteForce,0.008082749787718058
0,10,"[1, 1, 2, 3, 3]",BruteForce,0.008082749787718058
0,10,"[1, 1, 2, 2, 4]",BruteForce,0.008082749787718058
0,10,"[1, 1, 2, 2, 2, 2]",BruteForce,0.008082749787718058
0,10,"[1, 1, 1, 7]",BruteForce,0.008082749787718058
0,10,"[1, 1, 1, 3, 4]",BruteForce,0.008082749787718058
0,10,"[1, 1, 1, 2, 5]",BruteForce,0.008082749787718058
0,10,"[1, 1, 1, 2, 2, 3]",BruteForce,0.008082749787718058
0,10,"[1, 1, 1, 1, 6]",BruteForce,0.008082749787718058
0,10,"[1, 1, 1, 1, 3, 3]",BruteForce,0.008082749787718058
0,10,"[1, 1, 1, 1, 2, 4]",BruteForce,0.008082749787718058
0,10,"[1, 1, 1, 1, 2, 2, 2]",BruteForce,0.008082749787718058
0,10,"[1, 1, 1, 1, 1, 5]",BruteForce,0.008082749787718058
0,10,"[1, 1, 1, 1, 1, 2, 3]",BruteForce,0.008082749787718058
0,10,"[1, 1, 1, 1, 1, 1, 4]",BruteForce,0.008082749787718058
0,10,"[1, 1, 1, 1, 1, 1, 2, 2]",BruteForce,0.008082749787718058
0,10,"[1, 1, 1, 1, 1, 1, 1, 3]",BruteForce,0.008082749787718058
0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 2]",BruteForce,0.008082749787718058
0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",BruteForce,0.008082749787718058
1,10,"[5, 5]",BruteForce,0.008010916877537966
1,10,"[4, 6]",BruteForce,0.008010916877537966
1,10,"[3, 7]",BruteForce,0.008010916877537966
1,10,"[3, 3, 4]",BruteForce,0.008010916877537966
1,10,"[2, 8]",BruteForce,0.008010916877537966
1,10,"[2, 4, 4]",BruteForce,0.008010916877537966
1,10,"[2, 3, 5]",BruteForce,0.008010916877537966
1,10,"[2, 2, 6]",BruteForce,0.008010916877537966
1,10,"[2, 2, 3, 3]",BruteForce,0.008010916877537966
1,10,"[2, 2, 2, 4]",BruteForce,0.008010916877537966
1,10,"[2, 2, 2, 2, 2]",BruteForce,0.008010916877537966
1,10,"[1, 4, 5]",BruteForce,0.008010916877537966
1,10,"[1, 3, 6]",BruteForce,0.008010916877537966
1,10,"[1, 3, 3, 3]",BruteForce,0.008010916877537966
1,10,"[1, 2, 7]",BruteForce,0.008010916877537966
1,10,"[1, 2, 3, 4]",BruteForce,0.008010916877537966
1,10,"[1, 2, 2, 5]",BruteForce,0.008010916877537966
1,10,"[1, 2, 2, 2, 3]",BruteForce,0.008010916877537966
1,10,"[1, 1, 8]",BruteForce,0.008010916877537966
1,10,"[1, 1, 4, 4]",BruteForce,0.008010916877537966
1,10,"[1, 1, 3, 5]",BruteForce,0.008010916877537966
1,10,"[1, 1, 2, 6]",BruteForce,0.008010916877537966
1,10,"[1, 1, 2, 3, 3]",BruteForce,0.008010916877537966
1,10,"[1, 1, 2, 2, 4]",BruteForce,0.008010916877537966
1,10,"[1, 1, 2, 2, 2, 2]",BruteForce,0.008010916877537966
1,10,"[1, 1, 1, 7]",BruteForce,0.008010916877537966
1,10,"[1, 1, 1, 3, 4]",BruteForce,0.008010916877537966
1,10,"[1, 1, 1, 2, 5]",BruteForce,0.008010916877537966
1,10,"[1, 1, 1, 2, 2, 3]",BruteForce,0.008010916877537966
1,10,"[1, 1, 1, 1, 6]",BruteForce,0.008010916877537966
1,10,"[1, 1, 1, 1, 3, 3]",BruteForce,0.008010916877537966
1,10,"[1, 1, 1, 1, 2, 4]",BruteForce,0.008010916877537966
1,10,"[1, 1, 1, 1, 2, 2, 2]",BruteForce,0.008010916877537966
1,10,"[1, 1, 1, 1, 1, 5]",BruteForce,0.008010916877537966
1,10,"[1, 1, 1, 1, 1, 2, 3]",BruteForce,0.008010916877537966
1,10,"[1, 1, 1, 1, 1, 1, 4]",BruteForce,0.008010916877537966
1,10,"[1, 1, 1, 1, 1, 1, 2, 2]",BruteForce,0.008010916877537966
1,10,"[1, 1, 1, 1, 1, 1, 1, 3]",BruteForce,0.008010916877537966
1,10,"[1, 1, 1, 1, 1, 1, 1, 1, 2]",BruteForce,0.008010916877537966
1,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",BruteForce,0.008010916877537966
