Instance_ID,Num_Vertices,Num_Edges,Hamiltonian_Path,Hamiltonian_Cycle,Largest_Cycle_Size,Algorithm,Time
1,6,10,"[1, 2, 5, 3, 4, 6]","[1, 2, 5, 3, 4, 6, 1]",6,BruteForce,0.000089
2,6,8,"[1, 6, 3, 4, 2, 5]",None,0,BruteForce,0.000426
3,6,8,"[2, 4, 6, 3, 1, 5]",None,0,BruteForce,0.000308
4,7,10,"[1, 2, 3, 4, 5, 7, 6]","[1, 2, 3, 6, 7, 5, 4, 1]",7,BruteForce,0.000022
5,7,12,"[1, 2, 4, 3, 7, 5, 6]","[1, 2, 4, 3, 7, 6, 5, 1]",7,BruteForce,0.000022
6,8,12,"[1, 2, 3, 5, 4, 7, 6, 8]","[1, 2, 3, 5, 4, 7, 6, 8, 1]",8,BruteForce,0.000028
7,8,14,"[1, 2, 4, 3, 5, 6, 7, 8]","[1, 2, 4, 3, 5, 8, 7, 6, 1]",8,BruteForce,0.000064
8,9,15,"[1, 2, 3, 4, 9, 6, 5, 8, 7]","[1, 2, 3, 4, 9, 6, 7, 8, 5, 1]",9,BruteForce,0.000078
9,6,7,"[1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5, 6, 1]",6,BruteForce,0.000029
10,6,5,"[1, 2, 3, 4, 5, 6]",None,0,BruteForce,0.000263
11,7,16,"[1, 2, 3, 5, 4, 6, 7]","[1, 2, 3, 5, 4, 6, 7, 1]",7,BruteForce,0.000014
12,7,8,"[1, 2, 3, 4, 5, 6, 7]","[1, 2, 3, 4, 5, 6, 7, 1]",7,BruteForce,0.000007
13,8,10,"[1, 3, 6, 7, 4, 2, 5, 8]","[1, 3, 6, 7, 8, 5, 2, 4, 1]",8,BruteForce,0.000525
14,8,20,"[1, 4, 5, 2, 6, 3, 7, 8]","[1, 4, 5, 2, 6, 3, 7, 8, 1]",8,BruteForce,0.001755
15,9,11,"[1, 4, 6, 8, 2, 3, 5, 7, 9]","[1, 4, 6, 8, 2, 3, 5, 7, 9, 1]",9,BruteForce,0.005057
16,10,15,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 1]",10,BruteForce,0.000019
17,9,10,"[1, 4, 8, 9, 5, 3, 2, 7, 6]","[1, 4, 8, 9, 5, 3, 2, 7, 6, 1]",9,BruteForce,0.004750
18,10,14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 1]",10,BruteForce,0.000009
