instance_id,n_vars,n_clauses,method,satisfiable,time_seconds,solution
1,4,10,BruteForce,U,3.368407487869263e-05,{}
2,4,10,BruteForce,S,2.8688926249742508e-05,"{1: False, 2: True, 3: True, 4: True}"
3,4,10,BruteForce,U,2.3191794753074646e-05,{}
4,4,10,BruteForce,S,4.7497451305389404e-06,"{1: True, 2: False, 3: False, 4: False}"
5,4,10,BruteForce,S,1.6557984054088593e-05,"{1: False, 2: False, 3: True, 4: True}"
6,4,10,BruteForce,S,1.8798746168613434e-05,"{1: True, 2: True, 3: False, 4: True}"
7,4,10,BruteForce,S,2.8070062398910522e-06,"{1: False, 2: False, 3: False, 4: False}"
8,4,10,BruteForce,U,1.945486292243004e-05,{}
9,4,10,BruteForce,U,2.06800177693367e-05,{}
10,4,10,BruteForce,U,1.9612722098827362e-05,{}
11,8,16,BruteForce,U,0.0005250559188425541,{}
12,8,16,BruteForce,U,0.0004830639809370041,{}
13,8,16,BruteForce,S,0.00014502229169011116,"{1: True, 2: False, 3: False, 4: False, 5: True, 6: False, 7: True, 8: False}"
14,8,16,BruteForce,S,0.0004118978977203369,"{1: False, 2: True, 3: False, 4: False, 5: True, 6: True, 7: True, 8: True}"
15,8,16,BruteForce,U,0.0004867706447839737,{}
16,8,16,BruteForce,U,0.00041573401540517807,{}
17,8,16,BruteForce,S,0.00010250275954604149,"{1: True, 2: False, 3: False, 4: False, 5: False, 6: False, 7: True, 8: False}"
18,8,16,BruteForce,U,0.00041815219447016716,{}
19,8,16,BruteForce,S,0.0001653609797358513,"{1: False, 2: True, 3: False, 4: False, 5: False, 6: True, 7: True, 8: False}"
20,8,16,BruteForce,S,0.00038972729817032814,"{1: True, 2: False, 3: True, 4: False, 5: True, 6: True, 7: True, 8: True}"
21,12,24,BruteForce,S,0.002477661706507206,"{1: True, 2: True, 3: True, 4: False, 5: True, 6: True, 7: True, 8: False, 9: False, 10: False, 11: True, 12: False}"
22,12,24,BruteForce,S,0.0023673097603023052,"{1: False, 2: False, 3: False, 4: False, 5: False, 6: False, 7: False, 8: True, 9: True, 10: True, 11: False, 12: False}"
23,12,24,BruteForce,U,0.009168982971459627,{}
24,12,24,BruteForce,U,0.009582688100636005,{}
25,12,24,BruteForce,S,0.0006157322786748409,"{1: True, 2: False, 3: True, 4: True, 5: False, 6: False, 7: True, 8: True, 9: False, 10: False, 11: False, 12: False}"
26,12,24,BruteForce,U,0.009679798036813736,{}
27,12,24,BruteForce,U,0.008840883616358042,{}
28,12,24,BruteForce,S,0.008924217894673347,"{1: True, 2: False, 3: True, 4: False, 5: True, 6: False, 7: False, 8: False, 9: False, 10: True, 11: True, 12: True}"
29,12,24,BruteForce,U,0.009436713997274637,{}
30,12,24,BruteForce,S,0.004892280790954828,"{1: False, 2: False, 3: True, 4: True, 5: False, 6: True, 7: True, 8: True, 9: True, 10: True, 11: True, 12: False}"
31,16,32,BruteForce,S,0.018476346973329782,"{1: False, 2: False, 3: False, 4: True, 5: False, 6: True, 7: True, 8: False, 9: True, 10: False, 11: False, 12: True, 13: True, 14: False, 15: False, 16: False}"
32,16,32,BruteForce,U,0.18070427421480417,{}
33,16,32,BruteForce,S,0.17851005215197802,"{1: False, 2: True, 3: False, 4: True, 5: False, 6: True, 7: False, 8: True, 9: True, 10: True, 11: False, 12: False, 13: True, 14: True, 15: True, 16: True}"
34,16,32,BruteForce,S,0.16003013867884874,"{1: False, 2: True, 3: False, 4: True, 5: True, 6: False, 7: False, 8: False, 9: False, 10: True, 11: False, 12: True, 13: True, 14: False, 15: True, 16: True}"
35,16,32,BruteForce,U,0.17151994490996003,{}
36,16,32,BruteForce,S,0.16958366194739938,"{1: True, 2: True, 3: False, 4: True, 5: False, 6: False, 7: False, 8: True, 9: False, 10: True, 11: False, 12: True, 13: False, 14: True, 15: True, 16: True}"
37,16,32,BruteForce,U,0.18471085606142879,{}
38,16,32,BruteForce,U,0.19738662103191018,{}
39,16,32,BruteForce,S,0.054112293757498264,"{1: True, 2: False, 3: True, 4: True, 5: False, 6: False, 7: True, 8: False, 9: False, 10: False, 11: True, 12: True, 13: False, 14: False, 15: True, 16: False}"
40,16,32,BruteForce,U,0.18596790079027414,{}
41,18,36,BruteForce,U,0.7876864722929895,{}
42,18,36,BruteForce,U,0.8229140588082373,{}
43,18,36,BruteForce,U,0.8075951067730784,{}
44,18,36,BruteForce,U,0.7590524912811816,{}
45,18,36,BruteForce,U,0.7603092822246253,{}
46,18,36,BruteForce,U,0.7930169007740915,{}
47,18,36,BruteForce,U,0.804232251830399,{}
48,18,36,BruteForce,S,0.06989902164787054,"{1: True, 2: True, 3: True, 4: False, 5: True, 6: False, 7: False, 8: False, 9: False, 10: False, 11: False, 12: False, 13: True, 14: False, 15: True, 16: False, 17: False, 18: False}"
49,18,36,BruteForce,U,0.784680298063904,{}
50,18,36,BruteForce,S,0.0038047190755605698,"{1: False, 2: False, 3: True, 4: True, 5: False, 6: False, 7: False, 8: False, 9: True, 10: False, 11: True, 12: False, 13: False, 14: False, 15: False, 16: False, 17: False, 18: False}"
51,20,40,BruteForce,U,3.3291867109946907,{}
52,20,40,BruteForce,U,3.2328187841922045,{}
53,20,40,BruteForce,S,2.053110289853066,"{1: False, 2: False, 3: True, 4: False, 5: False, 6: True, 7: True, 8: False, 9: False, 10: False, 11: False, 12: False, 13: True, 14: False, 15: True, 16: False, 17: True, 18: False, 19: False, 20: True}"
54,20,40,BruteForce,U,3.393422659020871,{}
55,20,40,BruteForce,U,3.4034304688684642,{}
56,20,40,BruteForce,U,3.402263704687357,{}
57,20,40,BruteForce,U,3.365265871863812,{}
58,20,40,BruteForce,S,1.4152592052705586,"{1: True, 2: True, 3: False, 4: False, 5: False, 6: True, 7: False, 8: False, 9: False, 10: False, 11: False, 12: True, 13: False, 14: False, 15: True, 16: True, 17: False, 18: True, 19: True, 20: False}"
59,20,40,BruteForce,U,3.3258439684286714,{}
60,20,40,BruteForce,S,0.45985722402110696,"{1: False, 2: False, 3: False, 4: False, 5: True, 6: False, 7: False, 8: False, 9: False, 10: False, 11: False, 12: True, 13: False, 14: False, 15: False, 16: False, 17: False, 18: True, 19: False, 20: False}"
61,22,44,BruteForce,U,0.0001996159553527832,{}
62,22,44,BruteForce,U,4.832632839679718e-06,{}
63,22,44,BruteForce,U,3.2079406082630157e-06,{}
