instance_id,n_vars,n_clauses,method,satisfiable,time_seconds,solution
1000,4,9,BruteForce,S,1.4890916645526886e-05,"{1: True, 2: False, 3: False, 4: False}"
1001,4,9,BruteForce,U,4.146387800574303e-05,{}
1002,4,9,BruteForce,S,1.644529402256012e-05,"{1: True, 2: True, 3: True, 4: False}"
1003,4,9,BruteForce,S,2.139899879693985e-05,"{1: False, 2: True, 3: False, 4: True}"
1004,4,9,BruteForce,U,3.0901748687028885e-05,{}
1005,4,9,BruteForce,U,2.739299088716507e-05,{}
1006,4,9,BruteForce,U,3.524031490087509e-05,{}
1007,4,9,BruteForce,S,1.0367948561906815e-05,"{1: False, 2: False, 3: True, 4: False}"
1008,4,9,BruteForce,S,1.595495268702507e-05,"{1: False, 2: False, 3: False, 4: True}"
1009,4,9,BruteForce,S,7.964204996824265e-06,"{1: False, 2: True, 3: False, 4: False}"
1010,8,18,BruteForce,S,0.0003186669200658798,"{1: True, 2: False, 3: False, 4: False, 5: False, 6: False, 7: False, 8: True}"
1011,8,18,BruteForce,S,0.00018123630434274673,"{1: True, 2: True, 3: False, 4: True, 5: False, 6: False, 7: True, 8: False}"
1012,8,18,BruteForce,S,0.0005088248290121555,"{1: False, 2: True, 3: True, 4: False, 5: True, 6: False, 7: True, 8: True}"
1013,8,18,BruteForce,U,0.000558673869818449,{}
1014,8,18,BruteForce,U,0.0006361529231071472,{}
