instance_id,bin_capacity,bins_array,method,time_taken
0,10,"[2, 2, 2, 2, 2]",BackTracking,3.633275628089905e-05
0,10,"[2, 2, 2, 2, 1, 1]",BackTracking,3.633275628089905e-05
0,10,"[2, 2, 2, 4]",BackTracking,3.633275628089905e-05
0,10,"[2, 2, 2, 1, 1, 1, 1]",BackTracking,3.633275628089905e-05
0,10,"[2, 2, 2, 1, 3]",BackTracking,3.633275628089905e-05
0,10,"[2, 2, 5, 1]",BackTracking,3.633275628089905e-05
0,10,"[2, 2, 4, 1, 1]",BackTracking,3.633275628089905e-05
0,10,"[2, 2, 1, 1, 1, 1, 1, 1]",BackTracking,3.633275628089905e-05
0,10,"[2, 2, 1, 1, 1, 3]",BackTracking,3.633275628089905e-05
0,10,"[2, 2, 3, 3]",BackTracking,3.633275628089905e-05
0,10,"[2, 2, 6]",BackTracking,3.633275628089905e-05
0,10,"[2, 5, 1, 1, 1]",BackTracking,3.633275628089905e-05
0,10,"[2, 5, 3]",BackTracking,3.633275628089905e-05
0,10,"[2, 4, 4]",BackTracking,3.633275628089905e-05
0,10,"[2, 4, 1, 1, 1, 1]",BackTracking,3.633275628089905e-05
0,10,"[2, 4, 1, 3]",BackTracking,3.633275628089905e-05
0,10,"[2, 7, 1]",BackTracking,3.633275628089905e-05
0,10,"[2, 1, 1, 1, 1, 1, 1, 1, 1]",BackTracking,3.633275628089905e-05
0,10,"[2, 1, 1, 1, 1, 1, 3]",BackTracking,3.633275628089905e-05
0,10,"[2, 1, 1, 3, 3]",BackTracking,3.633275628089905e-05
0,10,"[2, 1, 1, 6]",BackTracking,3.633275628089905e-05
0,10,"[2, 8]",BackTracking,3.633275628089905e-05
0,10,"[5, 5]",BackTracking,3.633275628089905e-05
0,10,"[5, 4, 1]",BackTracking,3.633275628089905e-05
0,10,"[5, 1, 1, 1, 1, 1]",BackTracking,3.633275628089905e-05
0,10,"[5, 1, 1, 3]",BackTracking,3.633275628089905e-05
0,10,"[4, 4, 1, 1]",BackTracking,3.633275628089905e-05
0,10,"[4, 1, 1, 1, 1, 1, 1]",BackTracking,3.633275628089905e-05
0,10,"[4, 1, 1, 1, 3]",BackTracking,3.633275628089905e-05
0,10,"[4, 3, 3]",BackTracking,3.633275628089905e-05
0,10,"[4, 6]",BackTracking,3.633275628089905e-05
0,10,"[7, 1, 1, 1]",BackTracking,3.633275628089905e-05
0,10,"[7, 3]",BackTracking,3.633275628089905e-05
0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",BackTracking,3.633275628089905e-05
0,10,"[1, 1, 1, 1, 1, 1, 1, 3]",BackTracking,3.633275628089905e-05
0,10,"[1, 1, 1, 1, 3, 3]",BackTracking,3.633275628089905e-05
0,10,"[1, 1, 1, 1, 6]",BackTracking,3.633275628089905e-05
0,10,"[1, 1, 8]",BackTracking,3.633275628089905e-05
0,10,"[1, 3, 3, 3]",BackTracking,3.633275628089905e-05
0,10,"[1, 3, 6]",BackTracking,3.633275628089905e-05
1,10,"[2, 2, 2, 2, 2]",BackTracking,3.1750183552503586e-05
1,10,"[2, 2, 2, 2, 1, 1]",BackTracking,3.1750183552503586e-05
1,10,"[2, 2, 2, 4]",BackTracking,3.1750183552503586e-05
1,10,"[2, 2, 2, 1, 1, 1, 1]",BackTracking,3.1750183552503586e-05
1,10,"[2, 2, 2, 1, 3]",BackTracking,3.1750183552503586e-05
1,10,"[2, 2, 5, 1]",BackTracking,3.1750183552503586e-05
1,10,"[2, 2, 4, 1, 1]",BackTracking,3.1750183552503586e-05
1,10,"[2, 2, 1, 1, 1, 1, 1, 1]",BackTracking,3.1750183552503586e-05
1,10,"[2, 2, 1, 1, 1, 3]",BackTracking,3.1750183552503586e-05
1,10,"[2, 2, 3, 3]",BackTracking,3.1750183552503586e-05
1,10,"[2, 2, 6]",BackTracking,3.1750183552503586e-05
1,10,"[2, 5, 1, 1, 1]",BackTracking,3.1750183552503586e-05
1,10,"[2, 5, 3]",BackTracking,3.1750183552503586e-05
1,10,"[2, 4, 4]",BackTracking,3.1750183552503586e-05
1,10,"[2, 4, 1, 1, 1, 1]",BackTracking,3.1750183552503586e-05
1,10,"[2, 4, 1, 3]",BackTracking,3.1750183552503586e-05
1,10,"[2, 7, 1]",BackTracking,3.1750183552503586e-05
1,10,"[2, 1, 1, 1, 1, 1, 1, 1, 1]",BackTracking,3.1750183552503586e-05
1,10,"[2, 1, 1, 1, 1, 1, 3]",BackTracking,3.1750183552503586e-05
1,10,"[2, 1, 1, 3, 3]",BackTracking,3.1750183552503586e-05
1,10,"[2, 1, 1, 6]",BackTracking,3.1750183552503586e-05
1,10,"[2, 8]",BackTracking,3.1750183552503586e-05
