instance_id,n_vars,n_clauses,method,satisfiable,time_seconds,solution
1,4,10,BackTracking,U,6.050011143088341e-05,{}
2,4,10,BackTracking,S,6.860005669295788e-05,"{1: False, 2: True, 3: True, 4: True}"
3,4,10,BackTracking,U,2.719997428357601e-05,{}
4,4,10,BackTracking,S,4.7999899834394455e-05,"{1: True, 2: False, 3: False, 4: False}"
5,4,10,BackTracking,S,4.200008697807789e-05,"{1: False, 2: False, 3: True, 4: True}"
6,4,10,BackTracking,S,6.860005669295788e-05,"{1: True, 2: True, 3: False, 4: True}"
7,4,10,BackTracking,S,2.2799940779805183e-05,"{1: False, 2: False, 3: False, 4: False}"
8,4,10,BackTracking,U,4.449998959898949e-05,{}
9,4,10,BackTracking,U,3.309990279376507e-05,{}
10,4,10,BackTracking,U,4.029995761811733e-05,{}
11,8,16,BackTracking,U,0.00021239998750388622,{}
12,8,16,BackTracking,U,0.0005459999665617943,{}
13,8,16,BackTracking,S,0.00013589998707175255,"{1: True, 2: False, 3: False, 4: False, 5: True, 6: False, 7: True, 8: False}"
14,8,16,BackTracking,S,0.00026659993454813957,"{1: False, 2: True, 3: False, 4: False, 5: True, 6: True, 7: True, 8: True}"
15,8,16,BackTracking,U,0.0002669999375939369,{}
16,8,16,BackTracking,U,0.00010720011778175831,{}
17,8,16,BackTracking,S,0.000170599902048707,"{1: True, 2: False, 3: False, 4: False, 5: False, 6: False, 7: True, 8: False}"
18,8,16,BackTracking,U,0.0007244998123496771,{}
19,8,16,BackTracking,S,0.0001284000463783741,"{1: False, 2: True, 3: False, 4: False, 5: False, 6: True, 7: True, 8: False}"
20,8,16,BackTracking,S,8.849985897541046e-05,"{1: True, 2: False, 3: True, 4: False, 5: True, 6: True, 7: True, 8: True}"
21,12,24,BackTracking,S,0.00022789998911321163,"{1: False, 2: False, 3: False, 4: True, 5: True, 6: False, 7: True, 8: False, 9: True, 10: True, 11: False, 12: True}"
22,12,24,BackTracking,S,0.00020290003158152103,"{1: False, 2: False, 3: False, 4: False, 5: False, 6: False, 7: False, 8: True, 9: True, 10: True, 11: False, 12: False}"
23,12,24,BackTracking,U,0.0007394999265670776,{}
24,12,24,BackTracking,U,0.00027469987981021404,{}
25,12,24,BackTracking,S,0.00012730015441775322,"{1: False, 2: False, 3: False, 4: False, 5: True, 6: True, 7: False, 8: True, 9: True, 10: True, 11: True, 12: False}"
26,12,24,BackTracking,U,0.0009628999978303909,{}
27,12,24,BackTracking,U,0.0003753998316824436,{}
28,12,24,BackTracking,S,0.0004608000162988901,"{1: True, 2: False, 3: True, 4: False, 5: True, 6: False, 7: False, 8: False, 9: False, 10: True, 11: True, 12: True}"
29,12,24,BackTracking,U,0.004438899923115969,{}
30,12,24,BackTracking,S,0.004010000033304095,"{1: False, 2: False, 3: True, 4: True, 5: False, 6: True, 7: True, 8: True, 9: True, 10: True, 11: True, 12: False}"
31,16,32,BackTracking,S,0.001470599789172411,"{1: False, 2: False, 3: False, 4: True, 5: False, 6: False, 7: True, 8: False, 9: True, 10: False, 11: False, 12: False, 13: False, 14: False, 15: False, 16: True}"
32,16,32,BackTracking,U,0.003132699988782406,{}
33,16,32,BackTracking,S,0.0012115000281482935,"{1: False, 2: True, 3: False, 4: True, 5: False, 6: True, 7: False, 8: True, 9: True, 10: False, 11: False, 12: True, 13: True, 14: True, 15: True, 16: True}"
34,16,32,BackTracking,S,0.00032909982837736607,"{1: False, 2: True, 3: False, 4: True, 5: True, 6: False, 7: False, 8: False, 9: False, 10: True, 11: False, 12: False, 13: True, 14: True, 15: True, 16: True}"
35,16,32,BackTracking,U,0.0014549000188708305,{}
36,16,32,BackTracking,S,0.001312500098720193,"{1: False, 2: True, 3: False, 4: True, 5: False, 6: False, 7: True, 8: True, 9: True, 10: True, 11: False, 12: True, 13: False, 14: True, 15: True, 16: True}"
37,16,32,BackTracking,U,0.004903000080958009,{}
38,16,32,BackTracking,U,0.006456900155171752,{}
39,16,32,BackTracking,S,0.0007945001125335693,"{1: True, 2: False, 3: True, 4: True, 5: False, 6: False, 7: True, 8: False, 9: False, 10: False, 11: True, 12: True, 13: False, 14: False, 15: True, 16: False}"
40,16,32,BackTracking,U,0.014206600142642856,{}
41,18,36,BackTracking,U,0.006682700011879206,{}
42,18,36,BackTracking,U,0.002589799929410219,{}
43,18,36,BackTracking,U,0.00029809982515871525,{}
44,18,36,BackTracking,U,0.008931099902838469,{}
45,18,36,BackTracking,U,0.0005801999941468239,{}
46,18,36,BackTracking,U,0.007261399878188968,{}
47,18,36,BackTracking,U,0.014069000026211143,{}
48,18,36,BackTracking,S,0.0017363999504595995,"{1: True, 2: True, 3: True, 4: False, 5: True, 6: False, 7: False, 8: False, 9: False, 10: False, 11: False, 12: False, 13: True, 14: False, 15: True, 16: False, 17: False, 18: False}"
49,18,36,BackTracking,U,0.006454600021243095,{}
