instance_id,n_vars,n_clauses,method,satisfiable,time_seconds,solution
1,4,10,BackTracking,U,5.224999040365219e-05,{}
2,4,10,BackTracking,S,3.333413042128086e-05,"{1: False, 2: True, 3: True, 4: True}"
3,4,10,BackTracking,U,2.3499829694628716e-05,{}
4,4,10,BackTracking,S,1.4209188520908356e-05,"{1: True, 2: True, 3: True, 4: False}"
5,4,10,BackTracking,S,1.6707926988601685e-05,"{1: False, 2: False, 3: True, 4: True}"
6,4,10,BackTracking,S,1.4459015801548958e-05,"{1: True, 2: True, 3: True, 4: True}"
7,4,10,BackTracking,S,2.3292144760489464e-05,"{1: False, 2: False, 3: True, 4: False}"
8,4,10,BackTracking,U,3.458303399384022e-05,{}
9,4,10,BackTracking,U,1.258309930562973e-05,{}
10,4,10,BackTracking,U,3.4499913454055786e-05,{}
11,8,16,BackTracking,U,0.0001627081073820591,{}
12,8,16,BackTracking,U,0.00024737510830163956,{}
13,8,16,BackTracking,S,6.11250288784504e-05,"{1: True, 2: False, 3: False, 4: False, 5: True, 6: True, 7: True, 8: False}"
14,8,16,BackTracking,S,0.00011012493632733822,"{1: False, 2: True, 3: False, 4: True, 5: True, 6: True, 7: True, 8: True}"
15,8,16,BackTracking,U,0.00016579101793467999,{}
16,8,16,BackTracking,U,8.891592733561993e-05,{}
17,8,16,BackTracking,S,4.8416899517178535e-05,"{1: True, 2: False, 3: False, 4: False, 5: False, 6: False, 7: True, 8: False}"
18,8,16,BackTracking,U,0.000191250117495656,{}
19,8,16,BackTracking,S,4.537496715784073e-05,"{1: False, 2: True, 3: True, 4: False, 5: True, 6: True, 7: True, 8: False}"
20,8,16,BackTracking,S,3.587501123547554e-05,"{1: True, 2: True, 3: True, 4: False, 5: True, 6: True, 7: True, 8: True}"
21,12,24,BackTracking,S,8.579203858971596e-05,"{1: True, 2: True, 3: True, 4: False, 5: True, 6: True, 7: True, 8: False, 9: True, 10: True, 11: True, 12: False}"
22,12,24,BackTracking,S,0.00048220809549093246,"{1: True, 2: False, 3: False, 4: True, 5: False, 6: False, 7: False, 8: True, 9: True, 10: True, 11: False, 12: False}"
23,12,24,BackTracking,U,0.0005245830398052931,{}
24,12,24,BackTracking,U,0.00020916713401675224,{}
25,12,24,BackTracking,S,8.1624835729599e-05,"{1: True, 2: False, 3: True, 4: True, 5: True, 6: False, 7: True, 8: True, 9: False, 10: True, 11: False, 12: False}"
26,12,24,BackTracking,U,0.0006512498948723078,{}
27,12,24,BackTracking,U,0.0002876250073313713,{}
28,12,24,BackTracking,S,0.0003177500329911709,"{1: True, 2: False, 3: True, 4: False, 5: True, 6: False, 7: False, 8: True, 9: True, 10: True, 11: True, 12: True}"
29,12,24,BackTracking,U,0.0010558750946074724,{}
30,12,24,BackTracking,S,0.000878332881256938,"{1: False, 2: False, 3: True, 4: True, 5: False, 6: True, 7: True, 8: True, 9: True, 10: True, 11: True, 12: False}"
31,16,32,BackTracking,S,0.0018707499839365482,"{1: True, 2: False, 3: False, 4: True, 5: False, 6: True, 7: True, 8: False, 9: True, 10: True, 11: True, 12: True, 13: True, 14: True, 15: False, 16: False}"
32,16,32,BackTracking,U,0.00053258310072124,{}
33,16,32,BackTracking,S,0.001311624888330698,"{1: False, 2: True, 3: False, 4: True, 5: False, 6: True, 7: False, 8: True, 9: True, 10: True, 11: False, 12: True, 13: True, 14: True, 15: True, 16: True}"
