instance_id,n_vars,n_clauses,method,satisfiable,time_seconds,solution
1,4,10,BackTracking,U,7.440010085701942e-05,{}
2,4,10,BackTracking,S,5.270005203783512e-05,"{1: False, 4: True, 3: True, 2: True}"
3,4,10,BackTracking,U,2.929999027401209e-05,{}
4,4,10,BackTracking,S,4.2199972085654736e-05,"{2: True, 3: True, 1: False, 4: False}"
5,4,10,BackTracking,S,4.2199972085654736e-05,"{2: False, 4: True, 1: False, 3: False}"
6,4,10,BackTracking,S,2.8399983420968056e-05,"{3: True, 1: False, 2: False, 4: False}"
7,4,10,BackTracking,S,3.5199918784201145e-05,"{3: True, 4: False, 1: False, 2: False}"
8,4,10,BackTracking,U,3.1800009310245514e-05,{}
9,4,10,BackTracking,U,2.2700056433677673e-05,{}
10,4,10,BackTracking,U,3.860006108880043e-05,{}
11,8,16,BackTracking,U,4.469999112188816e-05,{}
12,8,16,BackTracking,U,7.670000195503235e-05,{}
13,8,16,BackTracking,S,8.33999365568161e-05,"{2: False, 7: True, 5: True, 4: False, 8: False, 3: False, 1: False, 6: False}"
14,8,16,BackTracking,S,7.219996768981218e-05,"{2: True, 5: True, 8: True, 6: True, 7: True, 3: False, 1: False, 4: False}"
15,8,16,BackTracking,U,9.620003402233124e-05,{}
16,8,16,BackTracking,U,5.45999500900507e-05,{}
17,8,16,BackTracking,S,5.070003680884838e-05,"{4: False, 1: False, 2: False, 3: False, 5: False, 6: False, 7: False, 8: False}"
