instance_id,n_vars,n_clauses,method,satisfiable,time_seconds,solution
1000,4,9,BestCase,S,5.629299266729504e-05,"{1: True, 2: False, 3: False, 4: False}"
1001,4,9,BestCase,U,3.142899367958307e-05,"{1: False, 2: False, 3: True, 4: False}"
1002,4,9,BestCase,S,1.6901991330087185e-05,"{1: True, 2: True, 3: True, 4: False}"
1003,4,9,BestCase,S,2.0674007828347385e-05,"{1: False, 2: True, 3: False, 4: True}"
1004,4,9,BestCase,U,2.3187996703200042e-05,"{1: False, 2: False, 3: False, 4: False}"
1005,4,9,BestCase,U,2.102200232911855e-05,"{1: True, 2: False, 3: False, 4: True}"
1006,4,9,BestCase,U,2.9054994229227304e-05,"{1: True, 2: False, 3: False, 4: True}"
1007,4,9,BestCase,S,1.0407005902379751e-05,"{1: False, 2: False, 3: True, 4: False}"
1008,4,9,BestCase,S,1.585400605108589e-05,"{1: False, 2: False, 3: False, 4: True}"
1009,4,9,BestCase,S,9.07901267055422e-06,"{1: False, 2: True, 3: False, 4: False}"
1010,8,18,BestCase,S,0.0002461960102664307,"{1: True, 2: False, 3: False, 4: False, 5: False, 6: False, 7: False, 8: True}"
1011,8,18,BestCase,S,0.0001547720021335408,"{1: True, 2: True, 3: False, 4: True, 5: False, 6: False, 7: True, 8: False}"
1012,8,18,BestCase,S,0.0004057169862790033,"{1: False, 2: True, 3: True, 4: False, 5: True, 6: False, 7: True, 8: True}"
1013,8,18,BestCase,U,0.0004321879969211295,"{1: False, 2: True, 3: False, 4: False, 5: True, 6: False, 7: False, 8: True}"
1014,8,18,BestCase,U,0.00048645600327290595,"{1: True, 2: False, 3: False, 4: False, 5: False, 6: False, 7: True, 8: True}"
1015,8,18,BestCase,U,0.00043931299296673387,"{1: True, 2: False, 3: False, 4: True, 5: True, 6: False, 7: True, 8: True}"
1016,8,18,BestCase,U,0.0005410040030255914,"{1: False, 2: False, 3: False, 4: False, 5: False, 6: True, 7: False, 8: False}"
1017,8,18,BestCase,S,0.00021539600857067853,"{1: True, 2: False, 3: True, 4: False, 5: False, 6: True, 7: True, 8: False}"
1018,8,18,BestCase,S,9.70800465438515e-06,"{1: True, 2: False, 3: False, 4: False, 5: False, 6: False, 7: False, 8: False}"
1019,8,18,BestCase,U,0.0004245750023983419,"{1: True, 2: False, 3: False, 4: True, 5: True, 6: False, 7: False, 8: False}"
1020,12,20,BestCase,U,0.009560521997627802,"{1: True, 2: False, 3: True, 4: True, 5: False, 6: False, 7: True, 8: False, 9: True, 10: True, 11: False, 12: False}"
1021,12,20,BestCase,S,0.003981816000305116,"{1: False, 2: False, 3: False, 4: False, 5: False, 6: True, 7: False, 8: True, 9: False, 10: True, 11: True, 12: False}"
1022,12,20,BestCase,S,0.004763289005495608,"{1: True, 2: False, 3: True, 4: False, 5: False, 6: True, 7: False, 8: False, 9: False, 10: False, 11: False, 12: True}"
1023,12,20,BestCase,S,0.0001442950015189126,"{1: True, 2: True, 3: False, 4: True, 5: True, 6: True, 7: False, 8: False, 9: False, 10: False, 11: False, 12: False}"
1024,12,20,BestCase,S,0.006975494994549081,"{1: True, 2: True, 3: False, 4: False, 5: True, 6: True, 7: False, 8: True, 9: True, 10: True, 11: False, 12: True}"
1025,12,20,BestCase,S,0.009139158995822072,"{1: False, 2: False, 3: True, 4: False, 5: False, 6: False, 7: True, 8: False, 9: False, 10: True, 11: True, 12: True}"
1026,12,20,BestCase,U,0.00986957699933555,"{1: True, 2: False, 3: False, 4: True, 5: False, 6: True, 7: True, 8: False, 9: False, 10: False, 11: True, 12: True}"
1027,12,20,BestCase,U,0.009571556991431862,"{1: True, 2: True, 3: True, 4: False, 5: False, 6: True, 7: True, 8: False, 9: True, 10: False, 11: False, 12: False}"
1028,12,20,BestCase,U,0.009519173996523023,"{1: False, 2: False, 3: True, 4: False, 5: False, 6: True, 7: False, 8: False, 9: False, 10: False, 11: True, 12: False}"
1029,12,20,BestCase,U,0.009892765010590665,"{1: False, 2: True, 3: False, 4: True, 5: True, 6: False, 7: False, 8: False, 9: False, 10: True, 11: False, 12: False}"
1030,16,30,BestCase,S,0.12107205200300086,"{1: False, 2: True, 3: True, 4: False, 5: True, 6: False, 7: False, 8: False, 9: False, 10: True, 11: False, 12: True, 13: True, 14: False, 15: False, 16: True}"
1031,16,30,BestCase,U,0.18394334698677994,"{1: False, 2: True, 3: True, 4: False, 5: False, 6: False, 7: False, 8: False, 9: False, 10: False, 11: True, 12: True, 13: True, 14: False, 15: False, 16: False}"
1032,16,30,BestCase,S,0.015574976991047151,"{1: False, 2: True, 3: True, 4: False, 5: False, 6: False, 7: False, 8: True, 9: False, 10: False, 11: True, 12: False, 13: True, 14: False, 15: False, 16: False}"
1033,16,30,BestCase,S,0.0047916449984768406,"{1: True, 2: False, 3: True, 4: False, 5: False, 6: True, 7: False, 8: False, 9: False, 10: True, 11: True, 12: False, 13: False, 14: False, 15: False, 16: False}"
1034,16,30,BestCase,U,0.19101752899587154,"{1: False, 2: False, 3: False, 4: True, 5: False, 6: True, 7: True, 8: False, 9: False, 10: False, 11: False, 12: False, 13: False, 14: False, 15: True, 16: True}"
1035,16,30,BestCase,S,0.05138729799364228,"{1: False, 2: False, 3: False, 4: False, 5: True, 6: True, 7: False, 8: True, 9: False, 10: True, 11: True, 12: True, 13: True, 14: True, 15: False, 16: False}"
1036,16,30,BestCase,U,0.19520405499497429,"{1: True, 2: False, 3: False, 4: False, 5: True, 6: True, 7: True, 8: False, 9: False, 10: True, 11: False, 12: False, 13: False, 14: True, 15: False, 16: False}"
1037,16,30,BestCase,S,0.02554023900302127,"{1: True, 2: False, 3: False, 4: True, 5: False, 6: False, 7: True, 8: False, 9: False, 10: False, 11: False, 12: False, 13: False, 14: True, 15: False, 16: False}"
1038,16,30,BestCase,U,0.19160525499319192,"{1: False, 2: False, 3: True, 4: True, 5: True, 6: True, 7: False, 8: False, 9: False, 10: True, 11: True, 12: False, 13: True, 14: False, 15: True, 16: True}"
1039,16,30,BestCase,S,0.09713554500194732,"{1: True, 2: False, 3: False, 4: False, 5: False, 6: False, 7: True, 8: True, 9: False, 10: False, 11: False, 12: False, 13: False, 14: False, 15: False, 16: True}"
1040,18,32,BestCase,U,0.8670971120009199,"{1: False, 2: False, 3: False, 4: False, 5: False, 6: False, 7: False, 8: True, 9: False, 10: False, 11: False, 12: True, 13: False, 14: False, 15: False, 16: False, 17: False, 18: False}"
1041,18,32,BestCase,U,0.8851751089969184,"{1: False, 2: True, 3: True, 4: False, 5: False, 6: False, 7: False, 8: False, 9: True, 10: False, 11: True, 12: True, 13: False, 14: True, 15: False, 16: False, 17: True, 18: True}"
1042,18,32,BestCase,U,0.8033065240015276,"{1: True, 2: False, 3: False, 4: True, 5: False, 6: True, 7: True, 8: False, 9: False, 10: False, 11: True, 12: True, 13: False, 14: False, 15: False, 16: False, 17: False, 18: False}"
1043,18,32,BestCase,S,0.4240777690138202,"{1: True, 2: False, 3: False, 4: True, 5: True, 6: False, 7: True, 8: True, 9: True, 10: True, 11: True, 12: False, 13: True, 14: False, 15: False, 16: False, 17: False, 18: True}"
1044,18,32,BestCase,U,0.839202084011049,"{1: False, 2: False, 3: False, 4: False, 5: False, 6: False, 7: False, 8: True, 9: False, 10: False, 11: False, 12: False, 13: False, 14: False, 15: False, 16: False, 17: False, 18: False}"
1045,18,32,BestCase,S,0.14100647601298988,"{1: True, 2: True, 3: False, 4: False, 5: True, 6: False, 7: False, 8: True, 9: False, 10: True, 11: True, 12: False, 13: True, 14: True, 15: False, 16: True, 17: False, 18: False}"
1046,18,32,BestCase,S,0.000619297003140673,"{1: True, 2: False, 3: True, 4: True, 5: False, 6: False, 7: True, 8: True, 9: False, 10: False, 11: False, 12: False, 13: False, 14: False, 15: False, 16: False, 17: False, 18: False}"
1047,18,32,BestCase,U,0.8049617799988482,"{1: False, 2: False, 3: False, 4: False, 5: True, 6: True, 7: False, 8: False, 9: False, 10: False, 11: False, 12: False, 13: True, 14: False, 15: True, 16: False, 17: False, 18: True}"
1048,18,32,BestCase,S,0.004611588999978267,"{1: True, 2: True, 3: False, 4: True, 5: False, 6: True, 7: True, 8: False, 9: True, 10: False, 11: True, 12: False, 13: False, 14: False, 15: False, 16: False, 17: False, 18: False}"
1049,18,32,BestCase,U,0.8292098410020117,"{1: True, 2: True, 3: False, 4: True, 5: True, 6: False, 7: False, 8: False, 9: False, 10: False, 11: False, 12: False, 13: False, 14: True, 15: False, 16: False, 17: False, 18: True}"
1050,20,33,BestCase,U,3.6576596860104473,"{1: False, 2: True, 3: False, 4: False, 5: False, 6: False, 7: True, 8: False, 9: False, 10: False, 11: False, 12: False, 13: False, 14: True, 15: True, 16: True, 17: True, 18: False, 19: False, 20: True}"
1051,20,33,BestCase,S,0.12251666700467467,"{1: True, 2: False, 3: True, 4: True, 5: False, 6: False, 7: True, 8: False, 9: True, 10: True, 11: False, 12: True, 13: False, 14: False, 15: False, 16: True, 17: False, 18: False, 19: False, 20: False}"
1052,20,33,BestCase,S,2.786944808991393,"{1: True, 2: True, 3: False, 4: False, 5: False, 6: False, 7: False, 8: False, 9: False, 10: True, 11: False, 12: False, 13: True, 14: True, 15: False, 16: True, 17: False, 18: False, 19: True, 20: True}"
1053,20,33,BestCase,S,2.8179585299949395,"{1: False, 2: False, 3: False, 4: False, 5: False, 6: True, 7: False, 8: False, 9: False, 10: False, 11: False, 12: True, 13: True, 14: False, 15: True, 16: False, 17: False, 18: False, 19: True, 20: True}"
1054,20,33,BestCase,U,3.4724412960058544,"{1: False, 2: False, 3: False, 4: True, 5: True, 6: False, 7: False, 8: False, 9: False, 10: False, 11: False, 12: True, 13: False, 14: False, 15: True, 16: True, 17: True, 18: False, 19: True, 20: False}"
