Instance_ID,Num_Vertices,Num_Edges,Hamiltonian_Path,Hamiltonian_Cycle,Largest_Cycle_Size,Algorithm,Time
1,6,10,"[1, 2, 5, 3, 4, 6]","[1, 2, 5, 3, 4, 6, 1]",6,BruteForce,0.000022
2,6,8,"[1, 6, 3, 4, 2, 5]",None,0,BruteForce,0.000112
3,6,8,"[2, 4, 6, 3, 1, 5]",None,0,BruteForce,0.000111
4,6,7,"[1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5, 6, 1]",6,BruteForce,0.000003
5,6,5,"[1, 2, 3, 4, 5, 6]",None,0,BruteForce,0.000095
6,7,10,"[1, 2, 3, 4, 5, 7, 6]","[1, 2, 3, 6, 7, 5, 4, 1]",7,BruteForce,0.000007
7,7,12,"[1, 2, 4, 3, 7, 5, 6]","[1, 2, 4, 3, 7, 6, 5, 1]",7,BruteForce,0.000008
8,7,16,"[1, 2, 3, 5, 4, 6, 7]","[1, 2, 3, 5, 4, 6, 7, 1]",7,BruteForce,0.000004
9,7,8,"[1, 2, 3, 4, 5, 6, 7]","[1, 2, 3, 4, 5, 6, 7, 1]",7,BruteForce,0.000002
10,8,12,"[1, 2, 3, 5, 4, 7, 6, 8]","[1, 2, 3, 5, 4, 7, 6, 8, 1]",8,BruteForce,0.000013
11,8,14,"[1, 2, 4, 3, 5, 6, 7, 8]","[1, 2, 4, 3, 5, 8, 7, 6, 1]",8,BruteForce,0.000024
12,8,10,"[1, 3, 6, 7, 4, 2, 5, 8]","[1, 3, 6, 7, 8, 5, 2, 4, 1]",8,BruteForce,0.000187
13,8,20,"[1, 4, 5, 2, 6, 3, 7, 8]","[1, 4, 5, 2, 6, 3, 7, 8, 1]",8,BruteForce,0.000346
14,9,15,"[1, 2, 3, 4, 9, 6, 5, 8, 7]","[1, 2, 3, 4, 9, 6, 7, 8, 5, 1]",9,BruteForce,0.000028
15,9,11,"[1, 4, 6, 8, 2, 3, 5, 7, 9]","[1, 4, 6, 8, 2, 3, 5, 7, 9, 1]",9,BruteForce,0.001822
16,9,10,"[1, 4, 8, 9, 5, 3, 2, 7, 6]","[1, 4, 8, 9, 5, 3, 2, 7, 6, 1]",9,BruteForce,0.001755
17,10,15,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 1]",10,BruteForce,0.000005
18,10,14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 1]",10,BruteForce,0.000004
