instance_id,n_vars,n_clauses,method,satisfiable,time_seconds,solution
1,4,10,BruteForce,U,3.0499882996082306e-05,{}
2,4,10,BruteForce,S,7.875030860304832e-06,"{1: False, 2: True, 3: True, 4: True}"
3,4,10,BruteForce,U,9.958865121006966e-06,{}
4,4,10,BruteForce,S,5.458015948534012e-06,"{1: True, 2: False, 3: False, 4: False}"
5,4,10,BruteForce,S,2.7078203856945038e-06,"{1: False, 2: False, 3: True, 4: True}"
6,4,10,BruteForce,S,1.1625001206994057e-05,"{1: True, 2: True, 3: False, 4: True}"
7,4,10,BruteForce,S,1.9168946892023087e-06,"{1: False, 2: False, 3: False, 4: False}"
8,4,10,BruteForce,U,1.1124880984425545e-05,{}
9,4,10,BruteForce,U,1.1375173926353455e-05,{}
10,4,10,BruteForce,U,9.875046089291573e-06,{}
11,8,16,BruteForce,U,0.00021279207430779934,{}
12,8,16,BruteForce,U,0.00018179207108914852,{}
13,8,16,BruteForce,S,9.008310735225677e-05,"{1: True, 2: False, 3: False, 4: False, 5: True, 6: False, 7: True, 8: False}"
14,8,16,BruteForce,S,6.354204379022121e-05,"{1: False, 2: True, 3: False, 4: False, 5: True, 6: True, 7: True, 8: True}"
15,8,16,BruteForce,U,0.00019575003534555435,{}
16,8,16,BruteForce,U,0.0001589171588420868,{}
17,8,16,BruteForce,S,8.754199370741844e-05,"{1: True, 2: False, 3: False, 4: False, 5: False, 6: False, 7: True, 8: False}"
18,8,16,BruteForce,U,0.00016200006939470768,{}
19,8,16,BruteForce,S,4.850002005696297e-05,"{1: False, 2: True, 3: False, 4: False, 5: False, 6: True, 7: True, 8: False}"
20,8,16,BruteForce,S,9.908410720527172e-05,"{1: True, 2: False, 3: True, 4: False, 5: True, 6: True, 7: True, 8: True}"
21,12,24,BruteForce,S,0.0003450419753789902,"{1: False, 2: False, 3: False, 4: True, 5: True, 6: False, 7: True, 8: False, 9: True, 10: True, 11: False, 12: True}"
22,12,24,BruteForce,S,3.374996595084667e-05,"{1: False, 2: False, 3: False, 4: False, 5: False, 6: False, 7: False, 8: True, 9: True, 10: True, 11: False, 12: False}"
23,12,24,BruteForce,U,0.00323766702786088,{}
24,12,24,BruteForce,U,0.0034377919510006905,{}
25,12,24,BruteForce,S,0.00016675004735589027,"{1: False, 2: False, 3: False, 4: False, 5: True, 6: True, 7: False, 8: True, 9: True, 10: True, 11: True, 12: False}"
26,12,24,BruteForce,U,0.0036307089030742645,{}
27,12,24,BruteForce,U,0.0032408330589532852,{}
28,12,24,BruteForce,S,0.0026344999205321074,"{1: True, 2: False, 3: True, 4: False, 5: True, 6: False, 7: False, 8: False, 9: False, 10: True, 11: True, 12: True}"
29,12,24,BruteForce,U,0.00349787506274879,{}
