instance_id,n_vars,n_clauses,method,satisfiable,time_seconds,solution
1,4,10,BackTracking,U,3.4125056117773056e-05,{}
2,4,10,BackTracking,S,2.2292137145996094e-05,"{1: False, 2: True, 3: True, 4: True}"
3,4,10,BackTracking,U,2.1499814465641975e-05,{}
4,4,10,BackTracking,S,9.499955922365189e-06,"{1: True, 2: True, 3: True, 4: False}"
5,4,10,BackTracking,S,1.0792165994644165e-05,"{1: False, 2: False, 3: True, 4: True}"
6,4,10,BackTracking,S,9.416835382580757e-06,"{1: True, 2: True, 3: True, 4: True}"
7,4,10,BackTracking,S,1.9249971956014633e-05,"{1: False, 2: False, 3: True, 4: False}"
8,4,10,BackTracking,U,3.1082890927791595e-05,{}
9,4,10,BackTracking,U,1.1667143553495407e-05,{}
10,4,10,BackTracking,U,3.079208545386791e-05,{}
11,8,16,BackTracking,U,0.00012625008821487427,{}
12,8,16,BackTracking,U,0.00022820779122412205,{}
13,8,16,BackTracking,S,4.7999899834394455e-05,"{1: True, 2: False, 3: False, 4: False, 5: True, 6: True, 7: True, 8: False}"
14,8,16,BackTracking,S,9.795906953513622e-05,"{1: False, 2: True, 3: False, 4: True, 5: True, 6: True, 7: True, 8: True}"
15,8,16,BackTracking,U,0.00013729184865951538,{}
16,8,16,BackTracking,U,8.808402344584465e-05,{}
17,8,16,BackTracking,S,4.095816984772682e-05,"{1: True, 2: False, 3: False, 4: False, 5: False, 6: False, 7: True, 8: False}"
18,8,16,BackTracking,U,0.00017845886759459972,{}
19,8,16,BackTracking,S,3.345916047692299e-05,"{1: False, 2: True, 3: True, 4: False, 5: True, 6: True, 7: True, 8: False}"
20,8,16,BackTracking,S,2.7750153094530106e-05,"{1: True, 2: True, 3: True, 4: False, 5: True, 6: True, 7: True, 8: True}"
21,12,24,BackTracking,S,6.495811976492405e-05,"{1: True, 2: True, 3: True, 4: False, 5: True, 6: True, 7: True, 8: False, 9: True, 10: True, 11: True, 12: False}"
22,12,24,BackTracking,S,0.0004241249989718199,"{1: True, 2: False, 3: False, 4: True, 5: False, 6: False, 7: False, 8: True, 9: True, 10: True, 11: False, 12: False}"
23,12,24,BackTracking,U,0.0004717919509857893,{}
24,12,24,BackTracking,U,0.00022900011390447617,{}
25,12,24,BackTracking,S,6.11250288784504e-05,"{1: True, 2: False, 3: True, 4: True, 5: True, 6: False, 7: True, 8: True, 9: False, 10: True, 11: False}"
26,12,24,BackTracking,U,0.0006157499738037586,{}
27,12,24,BackTracking,U,0.0003054998815059662,{}
28,12,24,BackTracking,S,0.00023116683587431908,"{1: True, 2: False, 3: True, 4: False, 5: True, 6: False, 7: False, 8: True, 9: True, 10: True, 11: True, 12: True}"
29,12,24,BackTracking,U,0.0008981660939753056,{}
30,12,24,BackTracking,S,0.0007544171530753374,"{1: False, 2: False, 3: True, 4: True, 5: False, 6: True, 7: True, 8: True, 9: True, 10: True, 11: True, 12: False}"
31,16,32,BackTracking,S,0.001299499999731779,"{1: True, 2: False, 3: False, 4: True, 5: False, 6: True, 7: True, 8: False, 9: True, 10: True, 11: True, 12: True, 13: True, 14: True, 15: False, 16: False}"
32,16,32,BackTracking,U,0.0005197920836508274,{}
33,16,32,BackTracking,S,0.0013659170363098383,"{1: False, 2: True, 3: False, 4: True, 5: False, 6: True, 7: False, 8: True, 9: True, 10: True, 11: False, 12: True, 13: True, 14: True, 15: True, 16: True}"
34,16,32,BackTracking,S,0.00033204094506800175,"{1: True, 2: True, 3: True, 4: True, 5: True, 6: True, 7: False, 8: True, 9: False, 10: True, 11: True, 12: False, 13: True, 14: True, 15: True, 16: True}"
35,16,32,BackTracking,U,0.0010468328837305307,{}
36,16,32,BackTracking,S,0.0008483338169753551,"{1: True, 2: True, 3: False, 4: True, 5: True, 6: False, 7: True, 8: True, 9: True, 10: True, 11: True, 12: True, 13: False, 14: True, 15: True, 16: True}"
37,16,32,BackTracking,U,0.0006437499541789293,{}
38,16,32,BackTracking,U,0.0019911250565201044,{}
39,16,32,BackTracking,S,0.0002855421043932438,"{1: True, 2: False, 3: True, 4: True, 5: False, 6: False, 7: True, 8: False, 9: True, 10: False, 11: True, 12: True, 13: False, 14: False, 15: True, 16: False}"
40,16,32,BackTracking,U,0.003531124908477068,{}
41,18,36,BackTracking,U,0.0019104171078652143,{}
42,18,36,BackTracking,U,0.0010183330159634352,{}
43,18,36,BackTracking,U,0.0002293749712407589,{}
44,18,36,BackTracking,U,0.003588499967008829,{}
45,18,36,BackTracking,U,0.0004708340857177973,{}
46,18,36,BackTracking,U,0.0043328749015927315,{}
47,18,36,BackTracking,U,0.007819582941010594,{}
48,18,36,BackTracking,S,0.00012970808893442154,"{1: True, 2: True, 3: True, 4: False, 5: True, 6: False, 7: True, 8: False, 9: True, 10: True, 11: False, 12: False, 13: True, 14: False, 15: True, 16: False}"
49,18,36,BackTracking,U,0.003930541919544339,{}
50,18,36,BackTracking,S,0.00036716717295348644,"{1: True, 2: True, 3: True, 4: True, 5: True, 6: False, 7: False, 8: False, 9: True, 10: True, 11: True, 12: True, 13: False, 14: False, 15: True, 16: True, 17: False, 18: False}"
51,20,40,BackTracking,U,0.015878499951213598,{}
52,20,40,BackTracking,U,0.013085458194836974,{}
53,20,40,BackTracking,S,0.0010943750385195017,"{1: True, 2: False, 3: True, 4: True, 5: False, 6: True, 7: True, 8: False, 9: False, 10: False, 11: True, 12: False, 13: True, 14: False, 15: True, 16: False, 17: True, 18: True, 19: True, 20: True}"
54,20,40,BackTracking,U,0.011983416974544525,{}
55,20,40,BackTracking,U,0.0030089581850916147,{}
56,20,40,BackTracking,U,0.03817354212515056,{}
57,20,40,BackTracking,U,0.005809334106743336,{}
58,20,40,BackTracking,S,0.0009123748168349266,"{1: True, 2: True, 3: False, 4: False, 5: False, 6: True, 7: False, 8: True, 9: False, 10: False, 11: False, 12: True, 13: False, 14: True, 15: True, 16: True, 17: True, 18: True, 19: True, 20: False}"
59,20,40,BackTracking,U,0.000698666088283062,{}
60,20,40,BackTracking,S,0.0034162921365350485,"{1: True, 2: True, 3: False, 4: True, 5: True, 6: False, 7: False, 8: False, 9: False, 10: False, 11: True, 12: True, 13: False, 14: False, 15: False, 16: False, 17: False, 18: True, 19: False, 20: False}"
61,22,44,BackTracking,S,0.00950687495060265,"{1: True, 2: False, 3: True, 4: True, 5: True, 6: False, 7: True, 8: True, 9: True, 10: False, 11: True, 12: False, 13: True, 14: True, 15: False, 16: False, 17: False, 18: True, 19: True, 20: True, 21: False, 22: False}"
62,22,44,BackTracking,U,0.005141875008121133,{}
63,22,44,BackTracking,U,0.008249165955930948,{}
64,22,44,BackTracking,U,0.002387500135228038,{}
65,22,44,BackTracking,U,0.05448929104022682,{}
66,22,44,BackTracking,U,0.004370957845821977,{}
67,22,44,BackTracking,U,0.11323841591365635,{}
68,22,44,BackTracking,U,0.021635124925523996,{}
69,22,44,BackTracking,U,0.004825707990676165,{}
70,22,44,BackTracking,U,8.304184302687645e-05,{}
71,24,48,BackTracking,S,0.0016515420284122229,"{1: False, 2: True, 3: True, 4: True, 5: False, 6: True, 7: True, 8: True, 9: True, 10: True, 11: False, 12: True, 13: False, 14: True, 15: False, 16: True, 17: True, 18: True, 19: True, 20: False, 21: False, 22: True, 23: True, 24: True}"
72,24,48,BackTracking,U,0.03654183400794864,{}
73,24,48,BackTracking,U,0.018315792083740234,{}
74,24,48,BackTracking,S,0.007790250005200505,"{1: False, 2: True, 3: True, 4: True, 5: False, 6: True, 7: False, 8: True, 9: True, 10: False, 11: False, 12: True, 13: True, 14: True, 15: False, 16: False, 17: False, 18: True, 19: True, 20: False, 21: True, 22: False, 23: True, 24: True}"
75,24,48,BackTracking,U,0.010478334035724401,{}
76,24,48,BackTracking,U,0.056685833958908916,{}
77,24,48,BackTracking,U,0.0006088749505579472,{}
78,24,48,BackTracking,U,0.001244375016540289,{}
79,24,48,BackTracking,U,0.06405195803381503,{}
80,24,48,BackTracking,S,0.003915041917935014,"{1: True, 2: True, 3: True, 4: False, 5: True, 6: False, 7: True, 8: False, 9: True, 10: True, 11: True, 12: True, 13: True, 14: True, 15: True, 16: True, 17: False, 18: True, 19: True, 20: True, 21: False, 22: True, 23: False, 24: True}"
81,4,20,BackTracking,U,3.4582801163196564e-05,{}
82,4,20,BackTracking,S,4.6584056690335274e-05,"{1: True, 2: False, 3: False, 4: False}"
83,4,20,BackTracking,S,4.937499761581421e-05,"{1: False, 2: True, 3: True}"
84,4,20,BackTracking,S,2.4416018277406693e-05,"{1: True, 2: True, 3: True, 4: False}"
85,4,20,BackTracking,U,5.445885471999645e-05,{}
86,4,20,BackTracking,S,2.7792062610387802e-05,"{1: True, 2: True, 3: False, 4: True}"
87,4,20,BackTracking,U,6.237486377358437e-05,{}
88,4,20,BackTracking,U,5.574990063905716e-05,{}
89,4,20,BackTracking,U,5.000014789402485e-05,{}
90,4,20,BackTracking,S,2.6165973395109177e-05,"{1: True, 2: False, 3: True, 4: False}"
91,8,40,BackTracking,S,8.445791900157928e-05,"{1: True, 2: True, 3: True, 4: True, 5: True, 6: False, 7: False, 8: True}"
92,8,40,BackTracking,S,0.00031429086811840534,"{1: True, 2: False, 3: False, 4: True, 5: True, 6: False, 7: False, 8: False}"
93,8,40,BackTracking,S,0.0001544170081615448,"{1: True, 2: False, 3: False, 4: True, 5: False, 6: True, 7: True, 8: False}"
94,8,40,BackTracking,U,0.0002672921400517225,{}
95,8,40,BackTracking,U,0.0003590418491512537,{}
96,8,40,BackTracking,U,0.0005240410100668669,{}
97,8,40,BackTracking,U,0.00036741700023412704,{}
98,8,40,BackTracking,U,0.00048816693015396595,{}
99,8,40,BackTracking,U,0.000672333175316453,{}
100,8,40,BackTracking,U,0.00027787499129772186,{}
101,12,60,BackTracking,U,0.006577915977686644,{}
102,12,60,BackTracking,S,0.0014677501749247313,"{1: True, 2: True, 3: False, 4: True, 5: True, 6: True, 7: False, 8: False, 9: False, 10: False, 11: False, 12: False}"
103,12,60,BackTracking,U,0.0048040421679615974,{}
104,12,60,BackTracking,S,0.0006047079805284739,"{1: True, 2: False, 3: False, 4: False, 5: False, 6: False, 7: False, 8: False, 9: False, 10: False, 11: True, 12: False}"
105,12,60,BackTracking,U,0.004839166067540646,{}
106,12,60,BackTracking,U,0.0031769589986652136,{}
107,12,60,BackTracking,U,0.002891124924644828,{}
108,12,60,BackTracking,U,0.007505583111196756,{}
109,12,60,BackTracking,S,0.0003576250746846199,"{1: True, 2: True, 3: False, 4: False, 5: True, 6: False, 7: False, 8: True, 9: True, 10: True, 11: False, 12: False}"
110,12,60,BackTracking,U,0.0020584999583661556,{}
111,16,80,BackTracking,U,0.019605333916842937,{}
112,16,80,BackTracking,S,0.010284500196576118,"{1: False, 2: True, 3: True, 4: True, 5: False, 6: True, 7: True, 8: True, 9: False, 10: True, 11: False, 12: True, 13: False, 14: True, 15: True, 16: True}"
113,16,80,BackTracking,U,0.027846874902024865,{}
114,16,80,BackTracking,U,0.030475292121991515,{}
115,16,80,BackTracking,U,0.007114042062312365,{}
116,16,80,BackTracking,U,0.014582125004380941,{}
117,16,80,BackTracking,U,0.011991958133876324,{}
118,16,80,BackTracking,U,0.012938959058374166,{}
119,16,80,BackTracking,U,0.011485875118523836,{}
120,16,80,BackTracking,S,0.012481332989409566,"{1: False, 2: False, 3: False, 4: True, 5: False, 6: False, 7: True, 8: False, 9: False, 10: True, 11: True, 12: True, 13: True, 14: False, 15: True, 16: True}"
121,18,90,BackTracking,U,0.0519358329474926,{}
