instance_id,n_vars,n_clauses,method,satisfiable,time_seconds,solution
1,4,10,BruteForce,U,4.5008957386016846e-05,{}
2,4,10,BruteForce,S,2.7799047529697418e-05,"{1: False, 2: True, 3: True, 4: True}"
3,4,10,BruteForce,U,2.8654001653194427e-05,{}
4,4,10,BruteForce,S,8.560717105865479e-06,"{1: True, 2: True, 3: True, 4: False}"
5,4,10,BruteForce,S,2.0822975784540176e-05,"{1: False, 2: False, 3: True, 4: True}"
6,4,10,BruteForce,S,7.067341357469559e-06,"{1: True, 2: True, 3: True, 4: True}"
7,4,10,BruteForce,S,2.4867244064807892e-05,"{1: False, 2: False, 3: True, 4: False}"
8,4,10,BruteForce,U,2.3288652300834656e-05,{}
9,4,10,BruteForce,U,2.350611612200737e-05,{}
10,4,10,BruteForce,U,2.7491245418787003e-05,{}
11,8,16,BruteForce,U,0.00048807263374328613,{}
12,8,16,BruteForce,U,0.0004377462901175022,{}
13,8,16,BruteForce,S,0.00018836511299014091,"{1: True, 2: False, 3: False, 4: False, 5: True, 6: True, 7: True, 8: False}"
14,8,16,BruteForce,S,0.0002430272288620472,"{1: False, 2: True, 3: False, 4: True, 5: True, 6: True, 7: True, 8: True}"
15,8,16,BruteForce,U,0.0004827459342777729,{}
16,8,16,BruteForce,U,0.00038085179403424263,{}
17,8,16,BruteForce,S,0.00019843364134430885,"{1: True, 2: False, 3: False, 4: False, 5: False, 6: False, 7: True, 8: False}"
18,8,16,BruteForce,U,0.0003724368289113045,{}
19,8,16,BruteForce,S,0.00023027881979942322,"{1: False, 2: True, 3: True, 4: False, 5: True, 6: True, 7: True, 8: False}"
20,8,16,BruteForce,S,3.615487366914749e-05,"{1: True, 2: True, 3: True, 4: False, 5: True, 6: True, 7: True, 8: True}"
21,12,24,BruteForce,S,0.00044793495908379555,"{1: True, 2: True, 3: True, 4: False, 5: True, 6: True, 7: True, 8: False, 9: True, 10: True, 11: True, 12: False}"
22,12,24,BruteForce,S,0.0032068612053990364,"{1: True, 2: False, 3: False, 4: True, 5: False, 6: False, 7: False, 8: True, 9: True, 10: True, 11: False, 12: False}"
23,12,24,BruteForce,U,0.006296175066381693,{}
24,12,24,BruteForce,U,0.006015764083713293,{}
25,12,24,BruteForce,S,0.0021282867528498173,"{1: True, 2: False, 3: True, 4: True, 5: True, 6: False, 7: True, 8: True, 9: False, 10: True, 11: False, 12: True}"
26,12,24,BruteForce,U,0.006959276739507914,{}
27,12,24,BruteForce,U,0.005740945693105459,{}
28,12,24,BruteForce,S,0.0022306921891868114,"{1: True, 2: False, 3: True, 4: False, 5: True, 6: False, 7: False, 8: True, 9: True, 10: True, 11: True, 12: True}"
29,12,24,BruteForce,U,0.0068651530891656876,{}
30,12,24,BruteForce,S,0.00528712710365653,"{1: False, 2: False, 3: True, 4: True, 5: False, 6: True, 7: True, 8: True, 9: True, 10: True, 11: True, 12: False}"
31,16,32,BruteForce,S,0.04592613410204649,"{1: True, 2: False, 3: False, 4: True, 5: False, 6: True, 7: True, 8: False, 9: True, 10: True, 11: True, 12: True, 13: True, 14: True, 15: False, 16: False}"
32,16,32,BruteForce,U,0.10411032568663359,{}
33,16,32,BruteForce,S,0.08455492602661252,"{1: False, 2: True, 3: False, 4: True, 5: False, 6: True, 7: False, 8: True, 9: True, 10: True, 11: False, 12: True, 13: True, 14: True, 15: True, 16: True}"
34,16,32,BruteForce,S,0.001332462765276432,"{1: True, 2: True, 3: True, 4: True, 5: True, 6: True, 7: False, 8: True, 9: False, 10: True, 11: True, 12: False, 13: True, 14: True, 15: True, 16: True}"
35,16,32,BruteForce,U,0.08937771013006568,{}
36,16,32,BruteForce,S,0.018399887252599,"{1: True, 2: True, 3: False, 4: True, 5: True, 6: False, 7: True, 8: True, 9: True, 10: True, 11: True, 12: True, 13: False, 14: True, 15: True, 16: True}"
37,16,32,BruteForce,U,0.09517710888758302,{}
38,16,32,BruteForce,U,0.12783206906169653,{}
39,16,32,BruteForce,S,0.031544792000204325,"{1: True, 2: False, 3: True, 4: True, 5: False, 6: False, 7: True, 8: False, 9: True, 10: False, 11: True, 12: True, 13: False, 14: False, 15: True, 16: False}"
40,16,32,BruteForce,U,0.11404139921069145,{}
41,18,36,BruteForce,U,0.411230499856174,{}
42,18,36,BruteForce,U,0.48582727974280715,{}
43,18,36,BruteForce,U,0.41332924691960216,{}
44,18,36,BruteForce,U,0.3929637656547129,{}
45,18,36,BruteForce,U,0.3946951082907617,{}
